AGENCYNAME,city,STATE,opbudget2019,opbudget_2021_2022,source
marshall county sheriff's office,guntersville,AL,2900000,4087000,https://policescorecard.org/
marshall police department,marshall,MN,3400000,3211000,https://policescorecard.org/
marshall police department,marshall,WI,918000,,
marshville police department,marshville,NC,9e+05,943966,https://www.marshville.org/sites/g/files/vyhlif6096/f/uploads/2023_marshville_audit.pdf
martin county sheriff's office,stuart,FL,70792993,52205000,https://policescorecard.org/
martin county sheriff's office,stanton,TX,9010644,1702904,http://www.co.martin.tx.us/ArchiveCenter/ViewFile/Item/152
martinez police department,martinez,CA,1.2e+07,13662071,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
martins ferry police department,martins ferry,OH,1501477,2055000,https://policescorecard.org/
martinsville police department,martinsville,IL,246455,114634,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
martinsville police department,martinsville,IN,3436125,3067000,https://policescorecard.org/
marysville police department,marysville,WA,19992904,15722000,https://policescorecard.org/
maryville police department,maryville,IL,2972333,1575370,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
mason police department,mason,MI,1498590,1507000,https://policescorecard.org/
matawan borough police,matawan borough,NJ,4195898,,
matewan police department,matewan,WV,50000,,
mathews county sheriff's office,mathews,VA,1460956,1714000,https://policescorecard.org/
mathis police department,mathis,TX,6487327,1025587,https://cityofmathis.com/DocumentCenter/View/909/FY2023-2024-Budget
mathiston police department,mathiston,MS,2e+05,,
mattawa police department,mattawa,WA,650000,,
matthews police department,matthews,NC,6951447,6298402,https://www.matthewsnc.gov/files/documents/FY21BudgetWorkbook1543115756051220AM.pdf
maui police department,wailuku,HI,4.2e+07,61615000,https://policescorecard.org/
maumelle police department,maumelle,AR,3520676,"4,187,615",https://www.maumelle.org/Archive.aspx?AMID=37
mauston police department,mauston,WI,4399907,,
maxton police department,maxton,NC,692395,860000,https://policescorecard.org/
maypearl police department,maypearl,TX,9612566,39472,https://www.cityofmaypearl.org/media/1441
maysville police department,maysville,GA,260000,,
mcallen police department,mcallen,TX,76823381,39985000,https://policescorecard.org/
mccomb police department,mccomb,MS,4756653,,
mccook county sheriff's office,salem,SD,823500,754000,https://policescorecard.org/
mccordsville police department,mccordsville,IN,1198148,187671,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
mccormick police department,mc cormick,SC,376393,,
mccracken county sheriff's office,paducah,KY,71988512,1408000,https://policescorecard.org/
mccullom lake police department,mchenry,IL,6659685,,
mcdonough county sheriff's office,macomb,IL,2364467,2745000,https://policescorecard.org/
mcdowell county sheriff's office,marion,NC,6522744,"22,713,756",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
mcdowell county sheriff's office/law enforcement,welch,WV,10668755,2324000,https://policescorecard.org/
mchenry county sheriff's office,woodstock,IL,36288536,25795000,https://policescorecard.org/
mchenry county sheriff's office,towner,ND,4971948,,
mchenry police department,mchenry,IL,11647308,36920000,https://policescorecard.org/
mcintosh county sheriff's department,darien,GA,10423893,3521000,https://georgiadata.org/
mckees rocks borough police department,mc kees rocks,PA,1712682,1696683,https://dced.pa.gov/local-government/municipal-statistics/
mckeesport city police department,mckeesport,PA,10313889,5152712,https://dced.pa.gov/local-government/municipal-statistics/
mckinney police department,mckinney,TX,39699073,37215000,https://policescorecard.org/
mcleansboro police department,mc leansboro,IL,350000,,
mclennan county sheriff's office,waco,TX,67448952,12039000,https://policescorecard.org/
mcmechen police department,mcmechen,WV,6906898,,
mcpherson police department,mcpherson,KS,2915420,2864000,https://policescorecard.org/
meagher county sheriff's office,white sulphur springs,MT,650000,,
mebane police department,mebane,NC,4e+06,13320689,https://www.mcdowellgov.com/county/facts-and-figures/audit/McDowell%20County%202022%20Audit.pdf
medford police department,medford,OK,2e+05,,
medford police department,medford,MA,89551311,13573000,https://policescorecard.org/
medford police department,medford,OR,25005500,25863000,https://policescorecard.org/
medicine lodge police department,medicine lodge,KS,4e+05,,
meeker police department,meeker,CO,901852,,
meigs police department,meigs,GA,7452603,,
melbourne police department,melbourne,FL,24580468,18706000,https://policescorecard.org/
memphis police department,memphis,TN,272780015,275700000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
menard county sheriff's office,menard,TX,3e+05,749441,https://www.co.menard.tx.us/upload/page/0199/Approved%202021-2022%20Budget.pdf
mendocino county sheriff's office,ukiah,CA,12603154,19159347,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
mendota police department,mendota,IL,1809720,2260774,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
menlo park police department,menlo park,CA,17263291,18372369,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
menomonie police department,menomonie,WI,2726826,,
mentone police department,mentone,IN,165000,108320,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
merced county sheriff's department,merced,CA,33983322,31197663,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
mercer county sheriff's office,trenton,NJ,94734557,,
meredith police department,meredith,NH,9395417,1430000,https://policescorecard.org/
meredosia police department,meredosia,IL,60000,41335,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
meriden police department,meriden,CT,13221534,13611000,https://policescorecard.org/
meridian police department,meridian,ID,23428263,21669000,https://policescorecard.org/
merrillan police department,merrillan,WI,73600,,
merrimack county sheriff's office,boscawen,NH,10235201,7518000,https://policescorecard.org/
mesa county sheriff's office,grand junction,CO,31218196,43586000,https://policescorecard.org/
mesa police department,mesa,AZ,198152493,226000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
meshoppen borough police department,meshoppen borough,PA,125000,169657,https://dced.pa.gov/local-government/municipal-statistics/
mesquite police department,mesquite,TX,39693480,40578000,https://policescorecard.org/
metamora township police department,metamora,MI,547000,525770,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
metcalfe police department,metcalfe,MS,8610362,,
methuen police department,methuen,MA,10076565,10602000,https://policescorecard.org/
metro nashville police department,nashville,TN,228155600,246100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
metropolitan police department - dc,washington,NA,559526918,516800000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
mexico police department,mexico,ME,485787,,
miami beach police department,miami beach,FL,115174000,123541000,https://policescorecard.org/
miami gardens police department,miami gardens,FL,37038121,,
miami police department,miami,FL,265621000,288100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
miami township police department - montgomery,miamisburg,OH,6823507,,
miami-dade police department,doral,FL,591686455,798301000,https://policescorecard.org/
middlebury police department,new haven,CT,1626682,,
middlesex county sheriff's office,new brunswick,NJ,21241000,,
middlesex sheriff's office,medford,MA,89778623,,
middletown city police department,middletown,NY,9521717,"10,563,750",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
middletown police department,middletown,CT,15033881,15194000,https://policescorecard.org/
middletown police department,middletown,IN,3e+05,492425,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
middletown township police,middletown,NJ,71587873,16015000,https://policescorecard.org/
midland county sheriff's office,midland,TX,70058924,16737000,https://policescorecard.org/
midland police department,midland,MI,9843871,9227000,https://policescorecard.org/
midland police department,midland,TX,87008702,27535000,https://policescorecard.org/
mifflin township police department,columbus,OH,7e+05,,
mifflinburg borough police department,mifflinburg borough,PA,950000,907360,https://dced.pa.gov/local-government/municipal-statistics/
milan police department,milan,MI,5045901,2004000,https://policescorecard.org/
milford police department,milford,IA,605000,,
milford police department,milford (balance),CT,13487289,15240000,https://policescorecard.org/
mill valley police department,mill valley,CA,5955930,6454537,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
millard county sheriff's office,fillmore,UT,6977950,4205000,https://policescorecard.org/
millbrook police department,millbrook,AL,13428288,2210000,https://policescorecard.org/
mille lacs county sheriff's office,milaca,MN,7e+06,,
milledgeville police department,milledgeville,IL,229150,185499,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
miller police department,miller,SD,370000,384000,https://policescorecard.org/
millersville police department,goodlettsville,TN,1251718,1077000,https://policescorecard.org/
millerton village police department,millerton,NY,118809,"91,851",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
millinocket police department,millinocket,ME,4916215,407000,https://policescorecard.org/
milltown police department,milltown,IN,6070925,,
millvale borough police department,millvale borough,PA,696112,1125241,https://dced.pa.gov/local-government/municipal-statistics/
milpitas police department,milpitas,CA,26918971,34802445,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
milton borough police department,milton borough,PA,674681,970565,https://dced.pa.gov/local-government/municipal-statistics/
milton police department,milton,WV,9e+05,,
milton township police department,lake milton,OH,6e+05,,
milwaukee county sheriff's office,milwaukee,WI,111505926,298319000,https://policescorecard.org/
milwaukee police department,milwaukee,WI,298922696,280400000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
minco police department,minco,OK,5943252,,
minden police department,minden,LA,3e+06,2846000,https://policescorecard.org/
minden police department,minden,NE,641000,499000,https://policescorecard.org/
mineral county sheriff's office,creede,CO,5609805,699000,https://policescorecard.org/
mineral point police department,mineral point,WI,450000,,
minneapolis police department,minneapolis,MN,179849642,193100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
minnehaha county sheriff's office,sioux falls,SD,6513588,9371000,https://policescorecard.org/
minnetonka police department,minnetonka,MN,9750357,12035000,https://policescorecard.org/
minong police department,minong,WI,125000,,
minor hill police department,minor hill,TN,68000,,
miramar police department,mirmar,FL,54004383,47995000,https://policescorecard.org/
mishawaka police department,mishawaka,IN,12180000,12387000,https://policescorecard.org/
mission police department,mission,SD,214000,,
mission police department,mission,TX,16739914,17433000,https://policescorecard.org/
missoula police department,missoula,MT,18245121,19786000,https://policescorecard.org/
missouri city police department,missouri,TX,14418401,11615000,https://policescorecard.org/
missouri valley police department,missouri valley,IA,3788256,,
mitchell county sheriff's department,beloit,KS,6723713,,
mitchellville police department,mitchellville,IA,71873424,,
mize police department,mize,MS,3399010,,
mobile county sheriff's office,mobile,AL,50275505,47844000,https://policescorecard.org/
mobile police department,mobile,AL,57938351,61030000,https://policescorecard.org/
mocksville police department,mocksville,NC,13824295,"2,037,278",
modesto police department,modesto,CA,67073643,32912754,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
mohave county sheriff's office,kingman,AZ,26925425,13642000,https://policescorecard.org/
mondovi police department,mondovi,WI,440000,,
monongahela city police department,monongahela,PA,1068365,1154561,https://dced.pa.gov/local-government/municipal-statistics/
monroe city police department,monroe,MO,3982198,614701,https://auditor.mo.gov/LocalGov/ViewReportFile/51482
monroe county sheriff's office,key west,FL,62187345,54689000,https://policescorecard.org/
monroe county sheriff's office,waterloo,IL,3646860,"4,460,666",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
monroe county sheriff's office,rochester,NY,153114852,"58,256,190",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
monroe county sheriff's office,stroudsburg,PA,10509323,"4,920,425",https://dced.pa.gov/local-government/municipal-statistics/
monroe police department,monroe,LA,12499796,18188000,https://policescorecard.org/
monroe police department,monroe,MI,8874675,1242000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
monroe police department,monroe,WA,7877945,,
montclair police,montclair,NJ,15811662,14614000,https://policescorecard.org/
monterey county sheriff's office,salinas,CA,105176141,54528324,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
montesano police department,montesano,WA,1262567,,
montgomery city police department,montgomery,MO,460000,,
montgomery county police,gaithersburg,MD,280038331,,
montgomery county sheriff's department,crawfordsville,IN,5e+06,25561321,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/48-Sheriff-FY2021-APPR-Publication-Report.pdf
montgomery county sheriff's office,dayton,OH,59865655,60694000,https://policescorecard.org/
montgomery county sheriff's office,norristown,PA,58483308,"38,195,099",https://dced.pa.gov/local-government/municipal-statistics/
montgomery county sheriff's office,clarksville,TN,32855809,17961000,https://policescorecard.org/
montgomery county sheriff's office,conroe,TX,70864375,52466000,https://policescorecard.org/
montgomery county sheriff's office,christiansburg,VA,15003161,9688000,https://policescorecard.org/
montgomery county sheriff's office,montgomery,AL,32362229,15401000,https://policescorecard.org/
montgomery police department,montgomery,AL,49400000,46591000,https://policescorecard.org/
montgomery police department,montgomery,MN,935000,,
montgomery police department,montgomery,TX,1479655,,
monticello village police department,monticello,NY,2512830,"2,309,200",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
montreat police department,montreat,NC,7849750,460939,https://townofmontreat.org/wp-content/uploads/2022/07/MONTREAT-2021-FINANCIAL-STATEMENTS-FINAL.pdf
montrose township police department,montrose,MI,707000,804090,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
montvale police,montvale,NJ,3950000,,
montville police department,uncasville,CT,12257746,,
mooreland police department,mooreland,OK,420000,,
mooringsport police department,mooringsport,LA,22000,29663,https://app.lla.la.gov/publicreports.nsf/0/9bda75e768b041fc862587cf0062f83e/$file/000258e1.pdf
moraga police department,moraga,CA,2900000,2850778,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
moraine police department,moraine,OH,12790267,,
moran police department,moran,KS,84773,73000,https://policescorecard.org/
moreauville police department,moreauville,LA,150000,,
morehead police department,morehead,KY,5442457,1797000,https://policescorecard.org/
morehouse parish sheriff's office,bastrop,LA,8989524,9571303,https://app.lla.la.gov/publicreports.nsf/0/682270414feaa4d886258943006bb724/$file/00000957.pdf
morgan county sheriff's office,jacksonville,IL,9385418,1096926,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
morgan county sheriff's office,west liberty,KY,6e+05,,
morgan county sheriff's office,wartburg,TN,3140395,1906000,https://policescorecard.org/
morgan county sheriff's office,decatur,AL,1.2e+07,20396000,https://policescorecard.org/
morganfield police department,morganfield,KY,3508542,478000,https://policescorecard.org/
morgans point resort police department,belton,TX,740000,77253,https://www.morganspointresorttx.com/DocumentCenter/View/10729/RG-PROPOSED-BUDGET-WORKSHEET---FYE-09302022?bidId=
morgantown police department,morgantown,WV,8993807,,
morrice police department,morrice,MI,5280971,116140,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
morrill county sheriff's office,bridgeport,NE,670000,,
morris police department,morris,MN,9322338,1046000,https://policescorecard.org/
morrison police department,morrison,IL,568335,588650,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
morristown police department,morristown,TN,9017097,8367000,https://policescorecard.org/
morristown police department,morrisville,VT,1250000,1288000,https://policescorecard.org/
morton police department,morton,WA,492700,,
moscow mills police department,moscow mills,MO,556000,758193,https://moscowmillsmo.com/financials/
mount carroll police department,mount carroll,IL,4030835,0,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
mount ephraim police,mount ephraim,NJ,1500000,,
mount horeb police department,mount horeb,WI,1687457,,
mount juliet police department,mount juliet,TN,5595477,7776000,https://policescorecard.org/
mount morris police department,mount morris,MI,6e+05,3730000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
mount pleasant police department,mount pleasant,SC,15796981,16435000,https://policescorecard.org/
mount pulaski police department,mt pulaski,IL,265000,,
mount sterling police department,mount sterling,IL,5960293,,
mount vernon police department,mt. vernon,TX,7806766,,
mount vernon police department,mount vernon,IL,5400000,,
mount zion police department,mount zion,IL,1085700,,
mountain city police department,mountain,GA,151186,,
mountain city police department,mountain,TN,466601,,
mountlake terrace police department,mountlake terrace,WA,5595762,,
moville police department,moville,IA,190000,,
mt oliver borough police department,pittsburgh,PA,750000,929105,https://dced.pa.gov/local-government/municipal-statistics/
mt pleasant township police department,hickory,PA,412000,3060,https://dced.pa.gov/local-government/municipal-statistics/
mukilteo police department,mukilteo,WA,5400000,,
multnomah county sheriff's office,portland,OR,159242318,50017000,https://policescorecard.org/
muncie police department,muncie,IN,10994952,10487000,https://policescorecard.org/
murfreesboro police department,murfreesboro,TN,36400196,33613000,https://policescorecard.org/
murray county sheriff's department,chatsworth,GA,4758800,,
murrieta police department,murrieta,CA,2.7e+07,33175828,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
muscle shoals police department,muscle shoals,AL,3500000,4016000,https://policescorecard.org/
muscogee county sheriff's office,columbus,GA,26191170,27197848,https://georgiadata.org/
muskego police department,muskego,WI,5990880,,
muskogee county sheriff's office,muskogee,OK,10855279,,
musselshell county sheriff's office,roundup,MT,4521334,899000,https://policescorecard.org/
muttontown village police department,syosset,NY,2135256,"2,178,684",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
myrtle beach police department,myrtle beach,SC,33228248,31989000,https://policescorecard.org/
n. little rock police department,north little rock,AR,23338228,,
nags head police department,nags head,NC,2684114,"7,966,936",
nampa police department,nampa,ID,134284798,23062000,https://policescorecard.org/
nanticoke city police department,nanticoke,PA,2349312,2037190,https://dced.pa.gov/local-government/municipal-statistics/
napa county sheriff's office,napa,CA,36717983,37813451,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
naperville police department,naperville,IL,44143885,55200000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
narrows police department,narrows,VA,445800,,
nashua police department,nashua,IA,6267902,,
nashua police department,nashua,NH,31793416,33508000,https://policescorecard.org/
nashville police department,nashville,AR,1130344,,
nassau county police department,mineola,NY,146129331,"590,997,000",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
nassau county sheriff's office,yulee,FL,26764511,17608000,https://policescorecard.org/
natchitoches parish sheriff's office,natchitoches,LA,22088110,14806071,https://app.lla.la.gov/publicreports.nsf/0/a6680fae4b4ef48d862587d6005bb105/$file/00025aa8.pdf
natrona county sheriff's office,casper,WY,15911348,6380000,https://policescorecard.org/
nederland police department,nederland,TX,4100311,,
nelson county sheriff's office,lakota,ND,347420,,
nelson county sheriff's office,lovingston,VA,7186434,,
neosho county sheriff's department,erie,KS,1617045,1070000,https://policescorecard.org/
neosho/ashippin/rubicon police department,neosho,WI,111452,,
neptune beach public safety department,neptune beach,FL,3332266,,
neptune city police,neptune,NJ,2100000,,
netcong borough police,netcong borough,NJ,1200000,,
nevada police department,nevada,MO,2168185,2795000,https://policescorecard.org/
nevada public safety department,nevada,IA,1154752,1326000,https://policescorecard.org/
new albany police department,new albany,IN,9e+06,8911000,https://policescorecard.org/
new bedford police department,new bedford,MA,26041576,24586000,https://policescorecard.org/
new berlin police department,new berlin,WI,9758130,,
new boston police department,new boston,NH,1251189,,
new braunfels police department,new braunfels,TX,68235417,19656000,https://policescorecard.org/
new britain police department,new britain,CT,18012018,42557000,https://policescorecard.org/
new brunswick city police,new brunswick,NJ,18227914,19471000,https://policescorecard.org/
new carlisle police department,new carlisle,IN,914552,,
new castle county police department,new castle,DE,68096399,73680000,https://policescorecard.org/
new castle police department,new castle,DE,7086708,,
new castle police department,new castle,IN,1980280,3122000,https://policescorecard.org/
new concord police department,new concord,OH,350000,,
new hanover county sheriff's office,castle hayne,NC,53598395,81589083,https://www.nhcgov.com/Archive/ViewFile/Item/284
new hartford town police department,new hartford,NY,4278056,"2,814,518",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
new haven police department,new haven,CT,99154522,40418000,https://policescorecard.org/
new lisbon police department,new lisbon,WI,446375,,
new london police department,new london,WI,2220891,,
new miami police department,hamilton,OH,8220683,,
new milford police department,new milford,CT,5057235,5650000,https://policescorecard.org/
new orleans police department,new orleans,LA,212420440,217500000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
new rochelle city police department,new rochelle,NY,38330539,"35,678,107",https://www.newrochelleny.com/DocumentCenter/View/13366/2021-Adopted-Budget
new shoreham police,block island,RI,1350000,10007000,https://policescorecard.org/
new washington police department,new washington,OH,186000,,
new whiteland police department,new whiteland,IN,3866705,875870,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
new york city police department,new york,NY,6e+09,5400000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
new york city sheriff's office,new york,NY,396970000,,https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
new york mills village police department,new york mills,NY,334000,"443,708",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
newark police department,newark,DE,14667590,15562000,https://policescorecard.org/
newark police division,newark,NJ,228428160,156200000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
newcastle police department,newcastle,OK,3783511,,
newcastle police department,newcastle,WY,1170700,,
newellton police department,newellton,LA,5743346,,
newport beach police department,newport beach,CA,65793597,63736848,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
newport news police department,newport news,VA,50649407,70461000,https://policescorecard.org/
newport police,newport,RI,66176732,19699000,https://policescorecard.org/
newport police department,newport,NC,764903,0,
newport police department,newport,TN,2365341,2322000,https://policescorecard.org/
newport police department,newport,VT,1169307,1748000,https://policescorecard.org/
newport township police department,nanticoke,PA,219035,341527,https://dced.pa.gov/local-government/municipal-statistics/
newton county sheriff's department,covington,GA,12668560,16084000,https://georgiadata.org/
newton police department,newton,TX,350000,,
newton police department,newton,IA,2263614,4017000,https://policescorecard.org/
newton police department,newton,KS,5100000,4602000,https://policescorecard.org/
newton police department,newton,MA,102125690,19689000,https://policescorecard.org/
newton police department,newton,NH,642682,,
newtonsville police department,newtonsville,OH,3475414,,
niagara county sheriff's office,lockport,NY,57604327,"443,708",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
niagara falls city police department,niagara falls,NY,2e+07,"16,443,360",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
nocona police department,nocona,TX,6120076,,
nodaway county sheriff's office,maryville,MO,1960050,,
nogales police department,nogales,AZ,6e+06,6901000,https://policescorecard.org/
nora springs police department,nora springs,IA,178000,,
norfolk police department,norfolk,NE,9710924,6014000,https://policescorecard.org/
norfolk police department,norfolk,VA,75717773,79700000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
norfork police department,norfork,AR,3033755,,
norman county sheriff's office,ada,MN,1e+06,,
norman police department,norman,OK,31064148,28238000,https://policescorecard.org/
norphlet police department,norphlet,AR,3583579,,
north arlington police,north arlington,NJ,12898328,5435000,https://policescorecard.org/
north bend police department,north bend,OR,3876231,"3,173,048",https://www.northbendoregon.us/files/documents/2020-2021CityofNorthBendBudget1044123012621PM.pdf
north bergen police,north bergen,NJ,14030593,14455000,https://policescorecard.org/
north berwick police department,north berwick,ME,950000,,
north brookfield police department,north brookfield,MA,4972822,,
north castle town police department,armonk,NY,8620753,"6,058,761",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
north charleston police department,north charleston,SC,32311150,36533000,https://policescorecard.org/
north chicago police department,north chicago,IL,8694402,0,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
north cornwall township police department,lebanon,PA,5686670,1015920,https://dced.pa.gov/local-government/municipal-statistics/
north fayette township police department,oakdale,PA,5315952,4613633,https://dced.pa.gov/local-government/municipal-statistics/
north franklin township police department,washington,PA,9095078,20353,https://dced.pa.gov/local-government/municipal-statistics/
north haven police department,north haven,CT,6097641,,
north kingstown police,north kingstown,RI,8400000,8784000,https://policescorecard.org/
north kingsville police department,north kingsville,OH,5e+05,,
north las vegas police department,north las vegas,NV,98624251,117100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
north miami beach police department,north miami beach,FL,25522938,25378000,https://policescorecard.org/
north miami police department,north miami,FL,27990029,29374000,https://policescorecard.org/
north palm beach police department,north palm beach,FL,6456631,,
north port police department,north port,FL,17777900,19168000,https://policescorecard.org/
north randall police department,north randall,OH,1585777,,
north richland hills police department,north richland hills,TX,21964888,21120000,https://policescorecard.org/
north riverside police department,north riverside,IL,8289466,"7,924,009",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
north smithfield police,north smithfield,RI,2551303,2772000,https://policescorecard.org/
north wildwood police department,north wildwood,NJ,3881114,,
northampton county sheriff's office,jackson,NC,4293996,0,https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
northfield police department,northfield,IL,5215100,"5,670,495",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
northfield police department,northfield,MN,3857092,,
northlake police department,northlake,TX,2500000,2655447,https://stories.opengov.com/northlaketx/published/v1DntG1EP
northmoor police department,northmoor,MO,8273513,,
northville township department of public safety,northville,MI,8860520,3110000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
norton police department,norton,KS,785000,,
norwalk police department,norwalk,CT,25565588,24350000,https://policescorecard.org/
norway police department,norway,SC,6347778,,
norwood police,norwood,NJ,2500000,,
norwood police department,norwood,MA,8410044,8876000,https://policescorecard.org/
nottingham police department,nottingham,NH,599081,,
novato police department,novato,CA,18979608,14105081,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
nueces county sheriff's office,corpus christi,TX,16889345,14453000,https://policescorecard.org/
nunda town and village police department,nunda,NY,5437682,"73,921",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
nye county sheriff's office,pahrump,NV,19839553,19987000,https://policescorecard.org/
o' hara township police department,pittsburgh,PA,2e+06,1888000,https://policescorecard.org/
oak creek police department,oak creek,WI,12185478,,
oak forest police department,oak forest,IL,7777710,"11,151,470",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
oak harbor police department,oak harbor,WA,13920371,,
