assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,total_obligated_amount,total_outlayed_amount_for_overall_award,indirect_cost_federal_share_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,generated_pragmatic_obligations,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_from_COVID-19_supplementals_for_overall_award,obligated_amount_from_COVID-19_supplementals_for_overall_award,outlayed_amount_from_IIJA_supplemental_for_overall_award,obligated_amount_from_IIJA_supplemental_for_overall_award,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,prime_award_transaction_recipient_cd_original,prime_award_transaction_recipient_cd_current,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,primary_place_of_performance_county_name,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,prime_award_transaction_place_of_performance_cd_original,prime_award_transaction_place_of_performance_cd_current,primary_place_of_performance_foreign_location,cfda_number,cfda_title,funding_opportunity_number,funding_opportunity_goals_text,assistance_type_code,assistance_type_description,transaction_description,prime_award_base_transaction_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,initial_report_date,last_modified_date
1550_2012DJBX1004_FY2012-2012DJBX1004-00-NON_16.738_00,ASST_NON_2012DJBX1004_1550,2012DJBX1004,00,FY2012-2012DJBX1004-00-NON,SAI NOT AVAILABLE,134054.00,134054.00,,,0.00,0.00,0.00,0.00,0.00,0.00,134054.00,,,,,,2012-07-13,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,RKK3CJAGJ3G4,040010019,CITY OF FAIRFIELD,CITY OF FAIRFIELD,RKK3CJAGJ3G4,040010019,CITY OF FAIRFIELD,"FAIRFIELD, CITY OF",USA,UNITED STATES,1000 WEBSTER ST,,23182,FAIRFIELD,06095,SOLANO,06,CA,CALIFORNIA,94533,4836,CA-07,CA-08,,,,SINGLE ZIP CODE,USA,UNITED STATES,0623182,FAIRFIELD,06095,SOLANO,06,CALIFORNIA,945334836,CA-07,CA-08,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,SOLANO COUNTY LAW ENFORCEMENT SERVICE ENHANCEMENT PROJECT,SOLANO COUNTY LAW ENFORCEMENT SERVICE ENHANCEMENT PROJECT,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX1004_1550/,2017-09-17,2012-09-12
1550_2012DJBX1151_FY2012-2012DJBX1151-00-NON_16.738_00,ASST_NON_2012DJBX1151_1550,2012DJBX1151,00,FY2012-2012DJBX1151-00-NON,SAI NOT AVAILABLE,16305.00,16305.00,,,0.00,0.00,0.00,0.00,0.00,0.00,16305.00,,,,,,2012-07-13,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,EN1QPLBDAP85,021161000,COUNTY OF KERSHAW,KERSHAW COUNTY,,045809670,COUNTY OF KERSHAW,,USA,UNITED STATES,515 WALNUT STREET,,10855,CAMDEN,45055,KERSHAW,45,SC,SOUTH CAROLINA,29020,3649,SC-05,SC-05,,,,SINGLE ZIP CODE,USA,UNITED STATES,4510855,CAMDEN,45055,KERSHAW,45,SOUTH CAROLINA,290203649,SC-05,SC-05,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,IN-CAR VIDEO CAMERA INSTALLATIONS,IN-CAR VIDEO CAMERA INSTALLATIONS,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX1151_1550/,2017-09-17,2012-09-12
1550_2012DJBX1233_FY2012-2012DJBX1233-00-NON_16.738_00,ASST_NON_2012DJBX1233_1550,2012DJBX1233,00,FY2012-2012DJBX1233-00-NON,SAI NOT AVAILABLE,160568.00,160568.00,,,0.00,0.00,0.00,0.00,0.00,0.00,160568.00,,,,,,2012-07-13,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,YUJJHEWCPLZ5,063810972,CITY OF BAKERSFIELD,CITY OF BAKERSFIELD,YUJJHEWCPLZ5,063810972,CITY OF BAKERSFIELD,"BAKERSFIELD, CITY OF",USA,UNITED STATES,1501 TRUXTUN AVENUE,,03526,BAKERSFIELD,06029,KERN,06,CA,CALIFORNIA,93301,5109,CA-20,CA-20,,,,SINGLE ZIP CODE,USA,UNITED STATES,0603526,BAKERSFIELD,06029,KERN,06,CALIFORNIA,933015109,CA-20,CA-20,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,CITIZEN VOLUNTEER ACADEMY,CITIZEN VOLUNTEER ACADEMY,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX1233_1550/,2017-09-17,2012-09-12
1550_2012DJBX1224_FY2012-2012DJBX1224-00-NON_16.738_00,ASST_NON_2012DJBX1224_1550,2012DJBX1224,00,FY2012-2012DJBX1224-00-NON,SAI NOT AVAILABLE,330775.00,330775.00,,,0.00,0.00,0.00,0.00,0.00,0.00,330775.00,,,,,,2012-07-13,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,UEBEEPV69B58,140145660,CITY OF SACRAMENTO,CITY OF SACRAMENTO,M6LRDXXXVB87,073795957,SACRAMENTO  CITY OF,,USA,UNITED STATES,CITY HALL,"915 I STREET, 5TH FLOOR",64000,SACRAMENTO,06067,SACRAMENTO,06,CA,CALIFORNIA,95814,2604,CA-05,CA-07,,,,SINGLE ZIP CODE,USA,UNITED STATES,0664000,SACRAMENTO,06067,SACRAMENTO,06,CALIFORNIA,958142604,CA-05,CA-07,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,SACRAMENTO POLICE DEPARTMENT HELICOPTER OPERATIONS SUPPORT,SACRAMENTO POLICE DEPARTMENT HELICOPTER OPERATIONS SUPPORT,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX1224_1550/,2017-09-17,2012-09-12
1550_2012DJBX0830_FY2012-2012DJBX0830-00-NON_16.738_00,ASST_NON_2012DJBX0830_1550,2012DJBX0830,00,FY2012-2012DJBX0830-00-NON,SAI NOT AVAILABLE,19560.00,19560.00,,,381.00,381.00,0.00,0.00,0.00,0.00,19560.00,,,,,,2012-07-13,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,UZHHVE5W2C47,781992193,CITY OF EASTPOINTE,CITY OF EASTPOINTE,CBLNE3MCM5F1,069831964,CITY OF EASTPOINTE,,USA,UNITED STATES,23200 GRATIOT,,24290,EASTPOINTE,26099,MACOMB,26,MI,MICHIGAN,48021,2319,MI-12,MI-10,,,,SINGLE ZIP CODE,USA,UNITED STATES,2624290,EASTPOINTE,26099,MACOMB,26,MICHIGAN,480212319,MI-12,MI-10,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,POLICE VEHICLE EQUIPMENT UPGRADE PROJECT,POLICE VEHICLE EQUIPMENT UPGRADE PROJECT,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0830_1550/,2017-09-17,2012-09-12
1550_2012DJBX0210_FY2012-2012DJBX0210-00-NON_16.738_00,ASST_NON_2012DJBX0210_1550,2012DJBX0210,00,FY2012-2012DJBX0210-00-NON,SAI NOT AVAILABLE,21056.00,21056.00,,,0.00,0.00,0.00,0.00,0.00,0.00,21056.00,,,,,,2012-07-13,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,GLMXNLBSWXD1,024421492,"KANKAKEE, CITY OF",CITY OF KANKAKEE,,,,,USA,UNITED STATES,385 E. OAK ST,,38934,KANKAKEE,17091,KANKAKEE,17,IL,ILLINOIS,60901,3924,IL-11,IL-02,,,,SINGLE ZIP CODE,USA,UNITED STATES,1738934,KANKAKEE,17091,KANKAKEE,17,ILLINOIS,609013924,IL-11,IL-02,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,THE KANKAKEE JAG PROGRAM,THE KANKAKEE JAG PROGRAM,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0210_1550/,2017-09-17,2012-09-12
1550_2012DJBX0994_FY2012-2012DJBX0994-00-NON_16.738_00,ASST_NON_2012DJBX0994_1550,2012DJBX0994,00,FY2012-2012DJBX0994-00-NON,SAI NOT AVAILABLE,11991.00,11991.00,,,0.00,0.00,0.00,0.00,0.00,0.00,11991.00,,,,,,2012-07-13,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,GM9PS7AFX4J6,101563380,"ARVIN, CITY OF",CITY OF ARVIN,HQNHK2AHXM11,101563307,CITY OF ARVIN,"ARVIN, CITY OF",USA,UNITED STATES,200 CAMPUS DRIVE,P.O. BOX 156,02924,ARVIN,06029,KERN,06,CA,CALIFORNIA,93203,0156,CA-20,CA-22,,,,SINGLE ZIP CODE,USA,UNITED STATES,0602924,ARVIN,06029,KERN,06,CALIFORNIA,932030156,CA-20,CA-22,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0994_1550/,2017-09-17,2012-09-12
1550_2012DJBX0936_FY2012-2012DJBX0936-00-NON_16.738_00,ASST_NON_2012DJBX0936_1550,2012DJBX0936,00,FY2015-2012DJBX0936-00-NON-01,SAI NOT AVAILABLE,115619.00,115619.00,,,0.00,0.00,0.00,0.00,0.00,0.00,115619.00,,,,,,2012-07-13,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,JHDWSLRMX795,076248335,CITY OF COMPTON,CITY OF COMPTON,JHDWSLRMX795,076248335,CITY OF COMPTON,"COMPTON, CITY OF",USA,UNITED STATES,205 S. WILLOWBROOK,,15044,COMPTON,06037,LOS ANGELES,06,CA,CALIFORNIA,90220,3190,CA-37,CA-43,,,,SINGLE ZIP CODE,USA,UNITED STATES,0615044,COMPTON,06037,LOS ANGELES,06,CALIFORNIA,902203190,CA-37,CA-43,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,CITY OF COMPTON GRAFFITI ABATEMENT PROGRAM,CITY OF COMPTON GRAFFITI ABATEMENT PROGRAM,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0936_1550/,2017-09-17,2012-09-12
1550_2012DJBX1152_FY2012-2012DJBX1152-00-NON_16.738_00,ASST_NON_2012DJBX1152_1550,2012DJBX1152,00,FY2012-2012DJBX1152-00-NON,SAI NOT AVAILABLE,290616.00,290616.00,,,0.00,0.00,0.00,0.00,0.00,0.00,290616.00,,,,,,2012-07-13,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,E6FCXGL5FC43,072103559,CITY OF BIRMINGHAM,CITY OF BIRMINGHAM,E6FCXGL5FC43,072103559,CITY OF BIRMINGHAM,CITY OF BIRMINGHAM,USA,UNITED STATES,710 NORTH 20TH STREET,1710 FIRST AVENUE NORTH,07000,BIRMINGHAM,01117,SHELBY,01,AL,ALABAMA,35203,2216,AL-07,AL-07,,,,SINGLE ZIP CODE,USA,UNITED STATES,0107000,BIRMINGHAM,01073,JEFFERSON,01,ALABAMA,352032216,AL-07,AL-07,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,LAW ENFORCEMENT PROGRAMS,LAW ENFORCEMENT PROGRAMS,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX1152_1550/,2017-09-17,2012-09-12
1550_2012DJBX0723_FY2012-2012DJBX0723-00-NON_16.738_00,ASST_NON_2012DJBX0723_1550,2012DJBX0723,00,FY2012-2012DJBX0723-00-NON,SAI NOT AVAILABLE,30796.00,30796.00,,,0.00,0.00,0.00,0.00,0.00,0.00,30796.00,,,,,,2012-07-13,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,CBDNG718JV16,093881720,CITY OF FLORENCE,CITY OF FLORENCE,CBDNG718JV16,093881720,CITY OF FLORENCE,"FLORENCE, CITY OF (INC)",USA,UNITED STATES,"CITY-COUNTY COMPLEX, DRAWER JJ",180 N IRBY STREET,25810,FLORENCE,45041,FLORENCE,45,SC,SOUTH CAROLINA,29501,3456,SC-05,SC-07,,,,SINGLE ZIP CODE,USA,UNITED STATES,4525810,FLORENCE,45041,FLORENCE,45,SOUTH CAROLINA,295013456,SC-05,SC-07,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,FY 2012 JAG,FY 2012 JAG,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0723_1550/,2017-09-17,2012-09-12
1550_2012DJBX0879_FY2012-2012DJBX0879-00-NON_16.738_00,ASST_NON_2012DJBX0879_1550,2012DJBX0879,00,FY2012-2012DJBX0879-00-NON,SAI NOT AVAILABLE,19280.00,19280.00,,,720.00,720.00,0.00,0.00,0.00,0.00,19280.00,,,,,,2012-07-13,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,U5ELGNDQMLV3,072550239,CITY OF APOPKA,CITY OF APOPKA,U5ELGNDQMLV3,072550239,CITY OF APOPKA,"APOPKA, CITY OF",USA,UNITED STATES,112 E. 6TH STREET,,01700,APOPKA,12095,ORANGE,12,FL,FLORIDA,32703,5346,FL-03,FL-11,,,,SINGLE ZIP CODE,USA,UNITED STATES,1201700,APOPKA,12095,ORANGE,12,FLORIDA,327035346,FL-03,FL-11,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,DIGITAL IN CAR VIDEO FOR LAW ENFORCEMENT PROJECT,DIGITAL IN CAR VIDEO FOR LAW ENFORCEMENT PROJECT,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0879_1550/,2017-09-17,2012-09-12
1550_2012DJBX0357_FY2012-2012DJBX0357-00-NON_16.738_00,ASST_NON_2012DJBX0357_1550,2012DJBX0357,00,FY2012-2012DJBX0357-00-NON,SAI NOT AVAILABLE,10587.00,10587.00,,,0.00,0.00,0.00,0.00,0.00,0.00,10587.00,,,,,,2012-07-13,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,SE76KQ915NJ5,073540031,PANOLA COUNTY BOARD OF SUPERVISORS,PANOLA COUNTY,SE76KQ915NJ5,073540031,PANOLA COUNTY BOARD OF SUPERVISORS,"PANOLA, COUNTY OF",USA,UNITED STATES,P. O. BOX 273,,03620,BATESVILLE,28107,PANOLA,28,MS,MISSISSIPPI,38606,0273,MS-01,MS-02,,,,SINGLE ZIP CODE,USA,UNITED STATES,2803620,BATESVILLE,28107,PANOLA,28,MISSISSIPPI,386060273,MS-01,MS-02,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,PANOLA COUNTY 2012 JAG EQUIPMENT PROJECT,PANOLA COUNTY 2012 JAG EQUIPMENT PROJECT,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0357_1550/,2017-09-17,2012-09-12
1550_2012DJBX0877_FY2012-2012DJBX0877-00-NON_16.738_00,ASST_NON_2012DJBX0877_1550,2012DJBX0877,00,FY2012-2012DJBX0877-00-NON,SAI NOT AVAILABLE,377901.00,377901.00,,,0.00,0.00,0.00,0.00,0.00,0.00,377901.00,,,,,,2012-07-13,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,WLKQPBWGSRC5,131954203,CITY OF TUCSON POLICE,CITY OF TUCSON,X487LACQEQN6,072450869,CITY OF TUCSON,CITY OF TUCSON,USA,UNITED STATES,255 W. ALAMEDA ST.,"10 FLOOR, CITY HALL",77000,TUCSON,04019,PIMA,04,AZ,ARIZONA,85701,1303,AZ-07,AZ-07,,,,SINGLE ZIP CODE,USA,UNITED STATES,0477000,TUCSON,04019,PIMA,04,ARIZONA,857011303,AZ-07,AZ-07,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,2012 JAG LOCAL SOLICITATION FUNDING IN SUPPORT OF PROJECTS IDENTIFIED BY THE CITY OF TUCSON AND PIMA COUNTY,2012 JAG LOCAL SOLICITATION FUNDING IN SUPPORT OF PROJECTS IDENTIFIED BY THE CITY OF TUCSON AND PIMA COUNTY,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0877_1550/,2017-09-17,2012-09-12
1550_2012DJBX0215_FY2012-2012DJBX0215-00-NON_16.738_00,ASST_NON_2012DJBX0215_1550,2012DJBX0215,00,FY2012-2012DJBX0215-00-NON,SAI NOT AVAILABLE,293613.00,293613.00,,,0.00,0.00,0.00,0.00,0.00,0.00,293613.00,,,,,,2012-07-13,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,WHNTESWWUJM8,071773779,COLORADO SPRINGS CITY GOVERNMENT,CITY OF COLORADO SPRINGS,HV8LYKJKAQW6,078347481,COLORADO SPRINGS CITY GOVERNMENT,COLORADO SPRINGS CITY GOVERNMENT,USA,UNITED STATES,705 SOUTH NEVADA AVENUE,,90741,COLORADO SPRINGS,08041,EL PASO,08,CO,COLORADO,80903,4027,CO-05,CO-05,,,,SINGLE ZIP CODE,USA,UNITED STATES,0890741,COLORADO SPRINGS,08041,EL PASO,08,COLORADO,809034027,CO-05,CO-05,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,ENHANCING THE CAPACITY OF LAW ENFORCEMENT,ENHANCING THE CAPACITY OF LAW ENFORCEMENT,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0215_1550/,2017-09-17,2012-09-12
1550_2012DJBX0848_FY2012-2012DJBX0848-00-NON_16.738_00,ASST_NON_2012DJBX0848_1550,2012DJBX0848,00,FY2012-2012DJBX0848-00-NON,SAI NOT AVAILABLE,12560.00,12560.00,,,0.00,0.00,0.00,0.00,0.00,0.00,12560.00,,,,,,2012-07-13,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,MYB6D4DLBJD9,020983110,CITY OF LAKE CITY,CITY OF LAKE CITY,MYB6D4DLBJD9,020983110,CITY OF LAKE CITY,"LAKE CITY, CITY OF",USA,UNITED STATES,205 NORTH MARION AVE,,37775,LAKE CITY,12023,COLUMBIA,12,FL,FLORIDA,32055,,FL-04,FL-03,,,,SINGLE ZIP CODE,USA,UNITED STATES,1237775,LAKE CITY,12023,COLUMBIA,12,FLORIDA,32055,FL-04,FL-03,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0848_1550/,2017-09-17,2012-09-12
1550_2012DJBX0785_FY2012-2012DJBX0785-00-NON_16.738_00,ASST_NON_2012DJBX0785_1550,2012DJBX0785,00,FY2012-2012DJBX0785-00-NON,SAI NOT AVAILABLE,56218.00,56218.00,,,0.00,0.00,0.00,0.00,0.00,0.00,56218.00,,,,,,2012-07-13,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,RNJWFNVX3J38,020472601,CITY OF RACINE,CITY OF RACINE,RNJWFNVX3J38,020472601,CITY OF RACINE,"RACINE, CITY OF",USA,UNITED STATES,730 WASHINGTON AVE.,,82050,UPTOWN,55101,RACINE,55,WI,WISCONSIN,53403,1134,WI-01,WI-01,,,,SINGLE ZIP CODE,USA,UNITED STATES,5582050,RACINE,55101,RACINE,55,WISCONSIN,534031134,WI-01,WI-01,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,COURTROOM SECURITY,COURTROOM SECURITY,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0785_1550/,2017-09-17,2012-09-12
1550_2012DJBX1147_FY2012-2012DJBX1147-00-NON_16.738_00,ASST_NON_2012DJBX1147_1550,2012DJBX1147,00,FY2012-2012DJBX1147-00-NON,SAI NOT AVAILABLE,43911.00,43911.00,,,0.00,0.00,0.00,0.00,0.00,0.00,43911.00,,,,,,2012-07-13,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,V5AGXV9K8JM8,122868685,CITY OF DOTHAN,CITY OF DOTHAN,NZ2AV5NFSEE9,072096829,CITY OF DOTHAN,"DOTHAN, CITY OF",USA,UNITED STATES,210 N. SAINT ANDREWS STREET,,21184,DOTHAN,01069,HOUSTON,01,AL,ALABAMA,36303,4840,AL-02,AL-02,,,,SINGLE ZIP CODE,USA,UNITED STATES,0121184,DOTHAN,01069,HOUSTON,01,ALABAMA,363034840,AL-02,AL-02,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,DOTHAN/HOUSTON COUNTY DIGITAL IN-CAR VIDEO TECHNOLOGY PROGRAM.,DOTHAN/HOUSTON COUNTY DIGITAL IN-CAR VIDEO TECHNOLOGY PROGRAM.,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX1147_1550/,2017-09-17,2012-09-12
1550_2012DJBX0141_FY2012-2012DJBX0141-00-NON_16.738_00,ASST_NON_2012DJBX0141_1550,2012DJBX0141,00,FY2012-2012DJBX0141-00-NON,SAI NOT AVAILABLE,11907.00,11907.00,,,3000.00,3000.00,0.00,0.00,0.00,0.00,11907.00,,,,,,2012-07-13,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,KV1EVKBAKGL9,123553773,FRANKLIN COUNTY FISCAL COURT,FRANKLLIN COUNTY,DHK9P26QJ6Q1,095380978,COUNTY OF FRANKLIN,,USA,UNITED STATES,321 W MAIN STREET,,28900,FRANKFORT,21073,FRANKLIN,21,KY,KENTUCKY,40601,1872,KY-02,KY-01,,,,SINGLE ZIP CODE,USA,UNITED STATES,2128900,FRANKFORT,21073,FRANKLIN,21,KENTUCKY,406011872,KY-02,KY-01,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,NON,,B,COUNTY GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0141_1550/,2017-09-17,2012-09-12
1550_2012DJBX1049_FY2012-2012DJBX1049-00-NON_16.738_00,ASST_NON_2012DJBX1049_1550,2012DJBX1049,00,FY2012-2012DJBX1049-00-NON,SAI NOT AVAILABLE,15047.00,15047.00,,,0.00,0.00,0.00,0.00,0.00,0.00,15047.00,,,,,,2012-07-13,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,DTBPJMA2QFC8,073787152,CITY OF CARSON CITY,CITY OF CARSON CITY,DTBPJMA2QFC8,073787152,CITY OF CARSON CITY,CITY OF CARSON CITY,USA,UNITED STATES,201 N. CARSON STREET,,09700,CARSON CITY,32510,CARSON CITY,32,NV,NEVADA,89701,3706,NV-02,NV-02,,,,SINGLE ZIP CODE,USA,UNITED STATES,3209700,CARSON CITY,32510,CARSON CITY (CITY),32,NEVADA,897013706,NV-02,NV-02,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX1049_1550/,2017-09-17,2012-09-12
1550_2012DJBX1023_FY2012-2012DJBX1023-00-NON_16.738_00,ASST_NON_2012DJBX1023_1550,2012DJBX1023,00,FY2012-2012DJBX1023-00-NON,SAI NOT AVAILABLE,11152.00,11152.00,,,0.00,0.00,0.00,0.00,0.00,0.00,11152.00,,,,,,2012-07-13,2012,2011-10-01,2013-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,UKC1JNZTM113,087029443,CITY OF MOSS POINT,CITY OF MOSS POINT,UKC1JNZTM113,087029443,CITY OF MOSS POINT,"MOSS POINT, CITY OF",USA,UNITED STATES,4412 DENNY STREET,,49240,MOSS POINT,28059,JACKSON,28,MS,MISSISSIPPI,39563,2806,MS-04,MS-04,,,,SINGLE ZIP CODE,USA,UNITED STATES,2849240,MOSS POINT,28059,JACKSON,28,MISSISSIPPI,395632806,MS-04,MS-04,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,COMMUNICATIONS ENHANCEMENT PROJECT,COMMUNICATIONS ENHANCEMENT PROJECT,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX1023_1550/,2017-09-17,2012-09-12
